titre,aut.nom,prix
"Ugly Duckling and Me!, The",Grunwald,"50,10"
In Time,Blaschek,"76,90"
R.S.V.P. ,Cumesky,"69,23"
The Cheat,Usmar,"80,17"
Thunder Rock,Fagge,"36,56"
Sparrows,Flagg,"23,86"
Zack and Miri Make a movie,Hargey,"71,69"
Aaltra,MacCrackan,"96,46"
Eloise at Christmastime,Naisbet,"49,25"
"Emperor Waltz, The",Oliva,"44,40"
Outrage (Autoreiji),Magner,"31,05"
Bilitis,Twinning,"60,09"
"Condemned, The",Gutans,"24,95"
Castles in the Sky,Free,"40,60"
Contract Killers,Darko,"19,64"
Gung Ho! (Gung Ho!: The Story of Carlson's Makin Island Raiders),Venditto,"92,47"
"Nanny Diaries, The",Gabbett,"73,63"
Invasion of Astro-Monster (Godzilla vs. Monster Zero) (Kaija daisensa),Edmand,"15,20"
XXY,Adelman,"74,91"
"Amelie (Fabuleux destin d'Amlie Poulain, Le)",Laidler,"72,10"
People on Sunday (Menschen am Sonntag),Romer,"73,87"
Thin Ice,Ivetts,"24,13"
For Love or Country: The Arturo Sandoval Story,Maxweell,"11,76"
"Place Beyond the Pines, The",Phinnessy,"80,94"
Video Games: The Movie,Coweuppe,"18,77"
Romy and Michele: In the Beginning,Carluccio,"46,55"
Pluto's Christmas Tree,Cartmale,"89,86"
Lucky Break,Medlin,"81,76"
6 Bullets,Ellit,"76,01"
"Underground Comedy Movie, The",Brooker,"48,42"
Jay-Z: Made in America,Grewe,"40,31"
At Midnight I'll Take Your Soul (a Meia-Noite Levarei Sua Alma),Kyte,"47,82"
Campfire Tales,Douglas,"78,63"
Honeymoon,Cooksley,"16,86"
Combien Tu M'aimes? (How Much Do You Love Me?),Banbridge,"56,30"
It Might Get Loud,O'Flaherty,"40,27"
Iris,Nobes,"45,27"
Safe Men,Widdup,"67,16"
Blind,Gladstone,"36,98"
Longtime Companion,Matonin,"63,73"
Jim Jefferies: Fully Functional (EPIX),Salsberg,"67,87"
Our Fathers,Crowd,"81,13"
Nature Calls,Boner,"48,92"
Far from Home,Beiderbecke,"78,44"
Memphis Belle,Hadwick,"47,05"
Love's Deadly Triangle: The Texas Cadet Murder,Trahearn,"18,74"
Copying Beethoven,Sissons,"69,38"
Harmony and Me,Arstingall,"44,32"
Biloxi Blues,Curman,"38,61"
Crooks in Clover (a.k.a. Monsi Gangster) (Les tontons flingus),Jeanel,"31,80"
Fightville,Coombes,"72,55"
Patema Inverted,Furze,"92,97"
High School,Valti,"61,68"
Nim's Island,Fetherstonhaugh,"75,09"
"Loveless, The (Breakdown)",Leadbeater,"60,31"
Korso,Rope,"76,14"
Song of the South,Asgodby,"39,39"
"Few Good Men, A",Elcock,"97,60"
Hell to Eternity,Koppelmann,"24,29"
Brave New World,Kenealy,"73,77"
"Deceivers, The",Jozef,"16,78"
Think Like a Man,Seabrooke,"30,65"
Off Beat,Capper,"74,67"
Little Lili (La petite Lili),Rothschild,"97,96"
"Girl, The",Janus,"68,33"
"Big Heat, The",Buddell,"76,60"
Mission Congo,Squibb,"53,45"
Moonlight Serenade,Tidder,"39,94"
Bomb It,Slight,"62,71"
Michael Laudrup - en Fodboldspiller,Songist,"11,60"
"Otra Familia, La",Bertomeu,"34,24"
Becket,Larner,"55,84"
Bright Leaves,Ivic,"98,37"
Peanuts - Die Bank zahlt alles,Gouldeby,"77,38"
Crazy Beautiful You,Adderson,"48,03"
Shooting Dogs (a.k.a. Beyond the Gates),Latter,"63,21"
Nurse 3D,Brizland,"19,76"
"Lonely Passion of Judith Hearne, The",Adicot,"21,06"
"Die Bademeister – Weiber, saufen, Leben retten",Rumble,"28,95"
"River Why, The",Deare,"12,58"
I Was A Communist for the FBI,Beeton,"63,73"
Good Advice,Knappen,"34,77"
"Titfield Thunderbolt, The",Jojic,"56,07"
"Shout, The",Westwell,"78,76"
Prayers for Bobby,Jefferd,"82,22"
Skies Above the Landscape (Nebo iznad krajolika),Geram,"69,58"
"Mysterious Geographic Explorations of Jasper Morello, The",Bennoe,"44,11"
Turistas,Southard,"11,08"
Wyoming Renegades,Gremain,"91,96"
"Silence of the Lambs, The",Valance,"65,30"
The Virginian,Janisson,"86,99"
"Wankers, The (Les branleuses)",Enocksson,"75,03"
"Dust Factory, The",Barfford,"86,00"
"Riddle of the Sands, The",Tomasicchio,"17,20"
Wrong Turn 5: Bloodlines,Scouler,"41,11"
Homefront,Paraman,"11,89"
"Night in Casablanca, A",Ashment,"89,20"
Gray Lady Down,Mor,"98,32"
"Serious Man, A",Sheeran,"14,40"
"Last Temptation of Christ, The",Daile,"24,57"
"World, The (Shijie)",Bolter,"53,40"
Enchantment,Caven,"43,07"
Dennis the Menace,Knights,"27,02"
Smoke Signals,Polk,"32,16"
Trippin',Peye,"81,80"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Seel,"20,68"
All the Colors of the Dark,Trickey,"96,83"
"Love Nest, The",Bickle,"17,67"
Ararat,Fritschel,"73,65"
Cop and ½,Dregan,"90,89"
"Fort Apache, the Bronx",Eivers,"22,49"
Earth to Echo,Lernihan,"84,28"
Geography Club,Pitchers,"73,14"
"Ballad of Narayama, The (Narayama bushiko)",Kettel,"70,66"
"Good German, The",Zettler,"30,95"
Dracula Has Risen from the Grave,Escalera,"27,90"
Accattone,Rowth,"51,71"
Hands Over the City (Le mani sulla citta),Bingall,"54,94"
Clandestine Childhood,Foch,"21,57"
Mega Shark vs. Giant Octopus,Seleway,"63,72"
"Batman: The Dark Knight Returns, Part 2",Barham,"89,94"
"Ah of Life, The",Martino,"90,05"
Green Tea (La cha),Chantler,"42,31"
Plaza Suite,Scraggs,"29,17"
Machine Gun Kelly,Benham,"13,36"
Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...),Seagood,"91,71"
101 Dalmatians,McCalum,"89,02"
Ana and the Others (Ana y los otros),Thirsk,"84,21"
Dancing Lady,Thirlwell,"24,74"
Bright Young Things,Izard,"24,50"
Arachnophobia,Eliot,"72,95"
Take Me Home Tonight,Blakeman,"55,33"
Everything,Pruce,"75,87"
Weekend at Bernie's,Ringrose,"94,49"
Desert Blue,Loadsman,"90,22"
Bombay Beach,Boxen,"45,80"
Valhalla Rising,Van der Merwe,"51,63"
Heathers,Carnier,"33,67"
"Tuesday, After Christmas (Marti, dupa craciun)",Wellington,"72,28"
"Adventures of Elmo in Grouchland, The",Sleaford,"30,18"
Educating Rita,Menhci,"78,31"
Revolver,Starking,"68,84"
Barefoot in the Park,Attridge,"76,72"
Trapped in Paradise,Havard,"31,38"
Freud: The Secret Passion,Lesek,"90,19"
Road Kill (a.k.a. Road Train),Elmes,"64,05"
"Cat from Outer Space, The",Waywell,"14,74"
Season's Greetings,Hursthouse,"28,21"
Double Solitaire,Thame,"42,39"
Night at the Museum: Secret of the Tomb,Stockford,"88,76"
Step Up All In,Stonuary,"94,13"
"Lion King II: Simba's Pride, The",Rivaland,"47,26"
Miss Congeniality,Estcot,"61,11"
Disorganized Crime,Mixworthy,"57,94"
Our Music (Notre musique),Treves,"85,55"
Out of Reach,Field,"53,33"
Born to Kill,Fine,"52,79"
Amazon Jack 2: The Movie Star (a.k.a. Hugo the Movie Star) (Jungledyret 2 - den store filmhelt),Brimmell,"93,32"
"Eddy Duchin Story, The",Labbett,"29,06"
War of the Wildcats (In Old Oklahoma),Beardwell,"63,67"
Prayers for Bobby,Gotliffe,"81,92"
Land and Freedom (Tierra y libertad),Hanne,"76,94"
Unprecedented: The 2000 Presidential Election,Ewert,"96,91"
"Wool Cap, The",Golsworthy,"73,97"
Three Men and a Cradle (3 hommes et un couffin),Eveleigh,"89,70"
Our Fathers,Bailes,"79,90"
Body of Water (Syvalle salattu),Limbourne,"50,71"
American Crude,Kitchiner,"24,59"
Charlie Chan at Monte Carlo,Macia,"50,56"
Hector and the Search for Happiness,Cregan,"33,08"
Chapter 27,Olwen,"76,30"
Night of the Comet,Baxter,"24,80"
"Trust Us, This Is All Made Up",Pennington,"25,96"
"Robber, The (Der Rauber)",Sibbons,"82,74"
Mad Ron's Prevues from Hell,Giacubbo,"52,04"
"Misadventures of Margaret, The",Desbrow,"84,13"
"Namesake, The",Frain,"31,42"
Labyrinth of Lies,Pietrowski,"36,86"
Deep Red (Profondo rosso),Druett,"19,18"
Permanent Midnight,Gwinnell,"35,67"
Buddy,Harkins,"10,75"
Miss Sadie Thompson,Tromans,"77,30"
Simple Simon (I rymden finns inga kanslor),Hubbard,"30,62"
Cops,Diable,"32,82"
Mega Shark vs. Crocosaurus,Danilov,"23,80"
Speak,Denman,"84,15"
Love at First Bite,Ellyatt,"40,08"
Blown Away,Hunnable,"15,09"
"Shining, The",Skamell,"94,21"
Rabbit Without Ears (Keinohrhasen),Elintune,"85,78"
Gold Diggers of 1937,O'Clery,"72,41"
"Underground Comedy Movie, The",Giamo,"46,39"
Arsenic and Old Lace,Lowndsborough,"68,31"
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),Salisbury,"45,11"
Just Between Friends,Markl,"92,14"
Where's Poppa?,Kenny,"39,41"
Phantom of the Paradise,Palleske,"65,94"
LOL (Laughing Out Loud),Trustie,"55,02"
Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht),Hanshaw,"51,14"
Sleepers,Pomphrett,"94,04"
Lemora: A Child's Tale of the Supernatural,Revance,"65,18"
Casino Royale,Gretton,"77,64"
"Blue Max, The",Pighills,"34,50"
"Overcoat, The (Il cappotto)",Finding,"20,88"
23 (23 - Nichts ist so wie es scheint),Anstis,"11,58"
"Dark Horse, The",Hazeldean,"34,31"
May 18 (Hwaryeohan hyuga),Sherrott,"58,49"
This Island Earth,Bygrave,"62,67"
What About Bob?,Hayle,"70,79"
Fetishes,Alben,"96,50"
"Dupes, The (Al-makhdu'un)",Janton,"15,87"
"Wrong Man, The",Stutt,"21,80"
Mohabbatein,Charker,"66,20"
A Promise,Petyanin,"81,79"
Linewatch,Withams,"24,79"
Lake City,Shovelbottom,"63,71"
"Man from London, The (A Londoni frfi)",Tatersale,"80,35"
Our Man Flint,Tregensoe,"88,63"
"War You Don't See, The",Stanley,"98,95"
Blind Date,Callam,"64,07"
Fatty and Mabel Adrift,Ewell,"17,41"
"Messenger, The",Leil,"93,91"
"Guns of Navarone, The",Jamieson,"94,40"
Disorganized Crime,Lemm,"90,57"
Jackass Presents: Bad Grandpa,Mooreed,"16,63"
Breaking News (Daai si gin),Wingar,"35,33"
Different from the Others (Anders als die Andern),Meak,"13,26"
Outside Ozona,Lezemere,"48,49"
Dark Island,Ahlf,"86,99"
Blubberella,Mussett,"92,42"
Game of Werewolves,Moberley,"56,77"
Dead Men Walk,Frary,"55,91"
Ben-Hur: A Tale of the Christ,Bartlet,"65,66"
Meet Joe Black,Slaten,"29,60"
"Young One, The",Fruin,"75,72"
"Yellow Handkerchief, The",Edelman,"23,14"
Pardes,Howle,"17,85"
Un Piede in paradiso,Ambrose,"62,13"
Zuzu Angel,Gleave,"29,92"
Dancemaker,Ivanenko,"89,28"
Crush,Allaker,"11,90"
King Kong Escapes (Kingu Kongu no gyakusha),Wesgate,"27,71"
Without Bias (a.k.a. Len Bias),Parfrey,"64,24"
"Blossoming of Maximo Oliveros, The (Ang pagdadalaga ni Maximo Oliveros)",Blackader,"74,54"
Disney Princess Collection: Jasmine's Enchanted Tales: Jasmine's Wish,Silkstone,"55,44"
"Ghost Breakers, The",Jahner,"72,13"
Eastern Drift (Indigne d'asie),Mulvy,"55,36"
"Cool Ones, The",Myall,"33,37"
Ten Minutes Older: The Cello,Yair,"34,64"
Cremaster 3,Spridgen,"31,67"
8 Seconds,Zahor,"41,95"
Crazy Sexy Cancer,Massimo,"42,70"
Lady Be Good,Skinner,"96,92"
Holiday,Devereu,"44,72"
"Adventures of Picasso, The (Picassos aventyr)",Jukubczak,"44,82"
"Mermaid, The (Rusalka)",Callear,"47,38"
"End of St. Petersburg, The (Konets Sankt-Peterburga)",Iannetti,"77,60"
So Much So Fast,Stirley,"73,10"
Human Desire,Formoy,"60,71"
Dark City,Cescoti,"30,18"
Looking for Richard,Castillou,"21,21"
Beautiful Boy,Walcar,"30,59"
Crime Wave,Moncur,"22,60"
"Mudlark, The",Josephsen,"26,69"
Divorce - Italian Style (Divorzio all'italiana),Gilardengo,"87,22"
Hello Herman,Baine,"43,99"
"Time for Killing, A",Ashburne,"50,82"
"Northerners, The (De noorderlingen)",Maffezzoli,"95,88"
"Dark Mirror, The",Gonoude,"79,13"
Puppet Master vs. Demonic Toys (Puppet Master 9),MacCarrane,"19,31"
Star Wars: Episode IV - A New Hope,Hillock,"36,51"
Dick Figures: The Movie,Tooze,"27,52"
Down From the Mountain,McMackin,"39,50"
"Eye, The",Daveley,"22,02"
Hallelujah I'm a Bum,Mayte,"87,86"
Help!,Meiningen,"72,19"
One Kill,Guswell,"24,01"
Hunger (Sult),Gerleit,"45,91"
Changeling,Cockayme,"79,88"
When You're Strange,Harlick,"10,02"
"Country Girl, The",Minnock,"76,58"
Sense & Sensibility,Dradey,"24,32"
In Praise of Love (aloge de l'amour),Lipgens,"21,23"
Abduction,Althorp,"95,55"
"Signal, The (Seaal, La)",Rappa,"22,72"
"Road Warrior, The (Mad Max 2)",Channer,"40,46"
Ride Beyond Vengeance,Blakeden,"90,00"
Comme les 5 doigts de la main,Privost,"13,41"
"Law of Desire (Ley del deseo, La)",Bransden,"17,77"
"Barkleys of Broadway, The",Edis,"24,96"
"Last Time I Saw Archie, The",McPhelimy,"19,08"
Most Wanted,Yakunchikov,"47,88"
Bait,Perch,"10,57"
Butterfly Kiss,Tabbernor,"18,87"
After Alice (Eye of the Killer),Morad,"20,12"
"Star Is Born, A",Cake,"40,79"
Lie with Me,Ven,"43,01"
"Better Life, A",Gatling,"78,95"
"Surgeon, The",Biskupek,"68,12"
Little Fugitive,Crowch,"33,05"
Father of the Bride,Backe,"96,49"
The Hungover Games,Maas,"35,27"
Science and Islam,Simm,"36,80"
Capricorn One,Keetley,"17,70"
"Return of Mod Squad, The",Wrefford,"34,62"
"Wayward Cloud, The (Tian bian yi duo yun)",Haywood,"51,82"
Prom,Jaffrey,"93,63"
In the Midst of Life (Au co de la vie),Giral,"46,34"
Oldboy,Dachs,"31,09"
Warren Oates: Across the Border,Dinan,"34,36"
Forever Amber,Cunnell,"41,21"
Siegfried & Roy: The Magic Box,Dinnington,"41,05"
Subway,Edmons,"57,26"
Ararat,Nurse,"71,78"
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Mobius,"22,29"
When Will I Be Loved,Balchen,"18,21"
Grand Theft Auto,Cargo,"19,00"
"Sorcerer and the White Snake, The (Bai she chuan shuo)",Kiezler,"93,76"
Ladies They Talk About,Dunge,"63,30"
"Killers, The",Goggen,"71,45"
"Steel Trap, The",Weaving,"23,56"
Beastly,Arundell,"81,58"
Shutter Island,Franek,"54,13"
Free Willy 3: The Rescue,O'Mara,"28,22"
Salaam-E-Ishq,Croyden,"78,36"
M. Butterfly,Rossborough,"26,03"
"20,000 Leagues Under the Sea",Bausor,"16,28"
Garden State,Tutton,"44,87"
"Bachelor, The",Sarl,"70,69"
Jezebel,Beauman,"75,09"
Bill Hicks: Relentless,Clunie,"15,82"
Tattooed Life (Irezumi ichidai),Forsdicke,"73,03"
She's All That,Nattrass,"57,89"
Wisconsin Death Trip,Robertet,"98,92"
Trade,Grocott,"53,26"
"Lathe of Heaven, The",Carmichael,"80,72"
Cargo,Hemshall,"82,39"
Edie & Pen,Gelsthorpe,"69,84"
Through and Through (Na wylot),Renvoys,"17,22"
Babar The Movie,Billows,"43,20"
Taxi 4,Josum,"47,54"
"House of the Devil, The",Wontner,"96,78"
Love Meetings (Comizi d'amore),Fairholm,"65,40"
"Great Bank Hoax, The",Braidon,"75,51"
A Matador's Mistress,Espadater,"79,09"
Bronco Billy,Somerset,"73,36"
"To Have, or Not (En avoir (ou pas))",Rowbury,"51,13"
Buddy,Seeborne,"36,18"
Biker Boyz,Aleksankov,"26,48"
Misconception,Rean,"49,82"
"Danger! 50,000 Zombies",Joinsey,"16,82"
Miss Congeniality,Fairall,"26,00"
Philomena,Froome,"34,23"
Troubled Water (DeUsynlige),Feyer,"66,99"
"Help, The",Speed,"15,69"
Dr. Terror's House of Horrors,Morfield,"56,45"
Fire-Eater (Tulennielija),Morville,"34,47"
Jar City (Marin),Flori,"23,66"
Presidentintekijat,Berthomieu,"96,11"
Sherlock Holmes: Dressed to Kill,Shorte,"41,44"
Orchestra Wives,Kernes,"11,21"
Amorosa,Starford,"83,17"
Such a Long Journey,Curtayne,"39,56"
"Grace Lee Project, The",Biggar,"33,98"
Chato's Land,Bealton,"69,82"
Voices of Iraq,Hatzar,"85,59"
"Vampire Bat, The",Frantsev,"35,29"
Season of the Witch,Matissoff,"88,28"
Before the Rain (Pred dozhdot),Tousy,"68,20"
Solino,Paulat,"26,22"
There's Always Tomorrow,Copes,"86,70"
Hitler's Children,Prendergrass,"83,68"
Puzzlehead,Abramin,"62,83"
Blood Work,Pullar,"17,36"
"Man with No Shadow, The (Homme sans ombre, L')",Figures,"23,53"
Deadly Circuit (Mortelle randonne),Kehir,"47,93"
"Swarm, The",Attride,"74,87"
Bleak Night,Cassell,"68,26"
Celeste and Jesse Forever (Celeste & Jesse Forever),Dominick,"18,59"
Blood and Wine (Blood & Wine),Cella,"66,36"
Flash Gordon Conquers the Universe,Lanon,"37,24"
Blue Blood,Ricardou,"21,32"
"Matrix Reloaded, The",Ruby,"84,77"
Small Time,Von Hindenburg,"42,77"
Elvis,Mignot,"47,37"
"World Unseen, The",Robjents,"97,63"
"Killing of America, The",Tordiffe,"92,46"
"Young Master, The (Shi di chu ma)",Rolland,"23,76"
Love is God,Ostrich,"74,36"
Bloodtide,Gregor,"82,22"
Paradise Alley,Maccari,"58,41"
Blackthorn,Keyes,"21,93"
Love Crime (Crime d'amour),Sallinger,"39,51"
Charly,Gosnall,"79,43"
Alligator Eyes,Gatchel,"66,68"
Pahat pojat,Dresser,"75,11"
Ghost Machine,Prosser,"10,23"
Hopscotch,Deakan,"27,81"
The Deep Six,Calterone,"33,10"
Onionhead,Hubeaux,"94,46"
Kalifornia,Winscomb,"13,16"
Chronicle of a Summer (Chronique d'un t),Abramovitz,"35,32"
Stalag 17,Humber,"42,39"
Thr3e (Three),Speddin,"42,88"
Richard Pryor: Live in Concert,Brekonridge,"43,18"
Frisk,Abotson,"13,39"
Straight from the Heart,Crampton,"89,27"
Foodfight!,Cornelis,"70,99"
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),Samarth,"78,17"
Mary of Scotland,Hillett,"85,61"
Trancers II,Ashworth,"11,79"
Warrior,Georgeou,"11,34"
LennoNYC,Vasyutichev,"76,34"
Halloweentown II: Kalabar's Revenge,Rooney,"97,08"
Alexandria... Why? (Iskanderija... lih?),Buie,"74,05"
Actresses (Actrices),Pinshon,"68,56"
"I Want a Dog for Christmas, Charlie Brown",Puddicombe,"90,31"
Out of Time,Hlavecek,"35,15"
"Master of Disguise, The",Mowen,"33,15"
When Nietzsche Wept,Drinnan,"25,67"
"Dungeonmaster, The",Williment,"84,28"
War and Peace (Jang Aur Aman),Arboine,"42,14"
"Way I Spent the End of the World, The (Cum mi-am petrecut sfarsitul lumii)",Szwarc,"32,08"
"Friend of Mine, A (Ein Freund von mir)",Wilhelmy,"77,94"
Little Women,Lattka,"52,53"
Repast (Meshi),Ingram,"60,57"
Runaway Bride,Alenshev,"45,00"
Barry Lyndon,Fetherstonhaugh,"27,36"
Tango Kabaree,Tomik,"79,48"
American Wedding (American Pie 3),Gartsyde,"26,18"
Deadly Advice,Culbert,"11,15"
Z,Bachelor,"42,04"
Make Your Move,Conibeer,"11,19"
Orpheus (Orphe),Ghest,"16,92"
Vanya on 42nd Street,Samsworth,"59,39"
Let's Make Money,Crellim,"66,24"
"Magnetic Monster, The",Dwane,"44,69"
Marnie,Godspede,"84,92"
"Canterbury Tales, The (I racconti di Canterbury)",Postance,"81,94"
Soul Surfer,Leggs,"68,82"
Rudolph the Red-Nosed Reindeer: The Movie,Anker,"61,44"
"Golden Child, The",Voaden,"78,42"
"Blackout, The",Lyven,"21,75"
All Over the Guy,Otson,"32,46"
Animal Kingdom,Dennison,"58,70"
Nothing to Declare (Rien a dclarer),Lauxmann,"37,47"
Old Dogs,Beams,"45,70"
Dragon: The Bruce Lee Story,Merrikin,"98,52"
Where Is the Friend's Home? (Where Is My Friend's House?) (Khane-ye doust kodjast?),Goranov,"40,53"
"Carabineers, The (Carabiniers, Les)",Batten,"40,49"
The Big One: The Great Los Angeles Earthquake,Gresser,"16,72"
Only Old Men Are Going to Battle (V boy idut odni stariki),Sambidge,"33,18"
Miss Bala,Kave,"14,93"
"New York Ripper, The (Squartatore di New York, Lo)",Lloyd,"92,65"
Megacities,Cino,"11,72"
Peyton Place,Hanley,"59,91"
St. Elmo's Fire,Eshmade,"28,40"
"White Dwarf, The (Valkoinen kaapiae)",Rubbert,"67,54"
Belles on Their Toes,Leeb,"22,04"
Sisters of the Gion (Gion no shimai),Ryal,"22,01"
Jupiter Ascending,Caston,"67,71"
Restless Natives,Hawkwood,"19,58"
Dodgeball: A True Underdog Story,Jaszczak,"81,63"
Black Tights (1-2-3-4 ou Les Collants noirs),MacBarron,"70,89"
"Incredibles, The",Whate,"11,13"
"Adventures of the Wilderness Family, The",Mattys,"84,25"
"Master of Ballantrae, The",Kelbie,"10,03"
Accident,Hansana,"88,20"
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",Tibbles,"12,11"
"Wayward Cloud, The (Tian bian yi duo yun)",Jurisic,"46,16"
In Her Shoes,Ritson,"44,60"
Leave The World Behind,Kermon,"22,15"
What to Expect When You're Expecting,Gouda,"80,87"
Panama Hattie,Lichtfoth,"75,30"
"Truth About Cats & Dogs, The",Landells,"29,12"
Bullitt,Davidge,"64,90"
"Con, The",Beckmann,"52,69"
The Devil and the Holy Water,Heugel,"69,91"
Leprechaun 4: In Space,Jeandon,"54,72"
"Signal, The",Cockin,"12,92"
Three Way,Royle,"61,83"
Films to Keep You Awake: The Christmas Tale (Pelaculas para no dormir: Cuento de navidad),Farryn,"68,76"
Bamako,Sanger,"32,53"
Unthinkable,Erdes,"25,84"
"Fighter, The",Tompkinson,"39,16"
Four Eyes and Six-Guns,Tarquini,"44,87"
"Young Lieutenant, The (Le petit lieutenant)",McReynolds,"23,12"
Bliss (Mutluluk),Tansill,"44,45"
Four more years (Fyra or till),Crawcour,"30,84"
Happy Feet,Tofts,"54,02"
Dunston Checks In,Harvard,"26,83"
Frozen,Rourke,"38,27"
Winnebago Man,Bisterfeld,"72,67"
Special Correspondents (Envoys trs spciaux),Stitson,"72,47"
Lord of the Flies,Sparshutt,"97,71"
